Sentence,Type
The cake tastes delicious.,Declarative
Could you send me the report?,Interrogative
Close the window before you leave.,Imperative
Bravo! That was outstanding!,Exclamatory
Flowers bloom in spring.,Declarative
What is your favorite color?,Interrogative
Please turn off the lights.,Imperative
It's absolutely breathtaking!,Exclamatory
The library opens at 9 AM.,Declarative
Are you coming to the party?,Interrogative
Don't forget to call me.,Imperative
How wonderful it is to see you!,Exclamatory
The car was parked near the house.,Declarative
When will we get the results?,Interrogative
Clean up your desk.,Imperative
This is amazing!,Exclamatory
The flowers are blooming beautifully.,Declarative
Is she available now?,Interrogative
Hold the door open.,Imperative
I'm thrilled to hear this!,Exclamatory
He finished his project early.,Declarative
What does this symbol mean?,Interrogative
Hold the door open.,Imperative
This is unbelievable!,Exclamatory
The coffee shop is busy this morning.,Declarative
Are you coming to the party?,Interrogative
Write your name here.,Imperative
"Wow, this tastes great!",Exclamatory
She reads a book every night.,Declarative
Could you send me the report?,Interrogative
Close the window before you leave.,Imperative
I'm thrilled to hear this!,Exclamatory
Our team won the match.,Declarative
What time is the flight?,Interrogative
Please save your work.,Imperative
How lucky we are!,Exclamatory
They often go for walks together.,Declarative
Can you help me with this?,Interrogative
Turn left at the next intersection.,Imperative
I'm thrilled to hear this!,Exclamatory
They plan to travel to Europe.,Declarative
What time is the flight?,Interrogative
Open the door quietly.,Imperative
How inspiring she is!,Exclamatory
The train is on time.,Declarative
How does this work?,Interrogative
Open the door quietly.,Imperative
This is unbelievable!,Exclamatory
She reads a book every night.,Declarative
Are you ready for the meeting?,Interrogative
Don't forget to call me.,Imperative
Amazing effort! Well done!,Exclamatory
The train is on time.,Declarative
What does this symbol mean?,Interrogative
Write your name here.,Imperative
I can't believe we won!,Exclamatory
Flowers bloom in spring.,Declarative
When will we get the results?,Interrogative
Finish the report by tomorrow.,Imperative
How inspiring she is!,Exclamatory
She loves playing the guitar.,Declarative
Who is going to lead the project?,Interrogative
Please turn off the lights.,Imperative
What an exciting game!,Exclamatory
The cake tastes delicious.,Declarative
When will we get the results?,Interrogative
Please save your work.,Imperative
Amazing effort! Well done!,Exclamatory
She reads a book every night.,Declarative
How does this work?,Interrogative
Take a seat and relax.,Imperative
Amazing effort! Well done!,Exclamatory
She reads a book every night.,Declarative
What is your favorite color?,Interrogative
"Pass me the water, please.",Imperative
Bravo! That was outstanding!,Exclamatory
The sky is clear today.,Declarative
Where is the nearest gas station?,Interrogative
Clean up your desk.,Imperative
I can't believe we won!,Exclamatory
Our team won the match.,Declarative
Are you coming to the party?,Interrogative
Take a seat and relax.,Imperative
"Wow, this tastes great!",Exclamatory
He exercises daily.,Declarative
Are you ready for the meeting?,Interrogative
Follow the instructions carefully.,Imperative
Amazing effort! Well done!,Exclamatory
Mountains are covered in snow.,Declarative
Did you enjoy the movie?,Interrogative
Finish the report by tomorrow.,Imperative
It's absolutely breathtaking!,Exclamatory
The car was parked near the house.,Declarative
Have you finished your book?,Interrogative
Please save your work.,Imperative
That was a fantastic movie!,Exclamatory
The train is on time.,Declarative
Are you coming to the party?,Interrogative
Remember to bring your ID.,Imperative
This is amazing!,Exclamatory
The library opens at 9 AM.,Declarative
Are you coming to the party?,Interrogative
Don’t touch that!,Imperative
It's absolutely breathtaking!,Exclamatory
He exercises daily.,Declarative
What is your favorite color?,Interrogative
Clean up your desk.,Imperative
I can't believe we won!,Exclamatory
He finished his project early.,Declarative
Where is the nearest gas station?,Interrogative
Don't forget to call me.,Imperative
What an incredible journey!,Exclamatory
The coffee shop is busy this morning.,Declarative
Have you finished your book?,Interrogative
Wait here until I return.,Imperative
How inspiring she is!,Exclamatory
They plan to travel to Europe.,Declarative
What time is the flight?,Interrogative
Hold the door open.,Imperative
Amazing effort! Well done!,Exclamatory
She reads a book every night.,Declarative
Where did you go last weekend?,Interrogative
Remember to bring your ID.,Imperative
It's absolutely breathtaking!,Exclamatory
He finished his project early.,Declarative
What is the answer to this question?,Interrogative
Take a seat and relax.,Imperative
Bravo! That was outstanding!,Exclamatory
The sky is clear today.,Declarative
Who is going to lead the project?,Interrogative
Clean up your desk.,Imperative
It's absolutely breathtaking!,Exclamatory
Mountains are covered in snow.,Declarative
Where did you go last weekend?,Interrogative
Wait here until I return.,Imperative
That's fantastic news!,Exclamatory
She loves playing the guitar.,Declarative
When will we get the results?,Interrogative
Take a seat and relax.,Imperative
That was a fantastic movie!,Exclamatory
She reads a book every night.,Declarative
Is she available now?,Interrogative
Mark the date in your calendar.,Imperative
This is amazing!,Exclamatory
The train is on time.,Declarative
Can you help me with this?,Interrogative
Please save your work.,Imperative
What an incredible journey!,Exclamatory
She reads a book every night.,Declarative
Can you help me with this?,Interrogative
Please leave your shoes outside.,Imperative
It's absolutely breathtaking!,Exclamatory
They often go for walks together.,Declarative
Have you finished your book?,Interrogative
Send the email as soon as possible.,Imperative
What an incredible journey!,Exclamatory
She reads a book every night.,Declarative
Where is the nearest gas station?,Interrogative
Don't forget to call me.,Imperative
"Wow, this tastes great!",Exclamatory
The book was on the table.,Declarative
What is your favorite color?,Interrogative
Turn left at the next intersection.,Imperative
What a lovely surprise!,Exclamatory
The coffee shop is busy this morning.,Declarative
Where did you go last weekend?,Interrogative
Don't forget to call me.,Imperative
That's fantastic news!,Exclamatory
The flowers are blooming beautifully.,Declarative
Are you ready for the meeting?,Interrogative
Give me a call when you arrive.,Imperative
This is unbelievable!,Exclamatory
Her dress is beautiful.,Declarative
Why did they leave early?,Interrogative
Follow the instructions carefully.,Imperative
